Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0603,2,200p,
"C10, C9",0603,2,47n,
"C11, C12, C13, C14, C15, C16, C17, C18, C21, C22, C23, C24, C27, C28, C38, C39, C40, C41, C43, C44, C47, C48, C49, C52, C53, C54, C57, C63, C64, C65, C67, C68, C71, C75",0603,34,100n,
"C19, C20, C62",0603,3,1u,
"C2, C4, C6, C8",0603,4,820p,
"C25, C26",0603,2,160p,
"C29, C30, C37, C50, C51",0805,5,10u,
"C3, C7",0603,2,68p,
"C31, C32",0805,2,2.2u,
"C33, C34",0201,2,5.6p,
"C35, C36",0201,2,3.3p,
C42,0201,1,100n,
"C45, C46",0603,2,120p,
"C55, C56, C58, C59, C60",0603,5,4.7uF,
"C61, C66",0603,2,10u,
C70,0603,1,10nF,
"C72, C73",0201,2,330p,
C74,0603,1,2.2u,
"C76, C78",0603,2,100nF,
CR2,DIODE_ESDALC6V1-1U2_STM,1,ESDALC6V1-1U2,
"D1, D2",D_SOD-323,2,1N4148WS,
D10,D_SOD-523,1,BAT54KFILM,
"D3, D4",SOT-23,2,BAV99,
"D5, D6",D_SOD-323_HandSoldering,2,NSR0530,
D7,LED_D5.0mm,1,LED,
D8,1206,1,D_Schottky,
D9,TVS_ESDA25P35-1U1M,1,ESDA25P35-1U1M,
"GD1, GD2",GDT_SH_LTF,2,GDT_SH90,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J17,PinHeader_2x01_P2.54mm_Vertical,1,2x01,
J19,PinHeader_1x01_P2.54mm_Vertical,1,T_N5V,
J2,OST_302-R241,1,Conn_02x12_Odd_Even,
J20,USB_C_Receptacle_Amphenol_12401610E4-2A,1,USB_C_Receptacle,
"JP1, JP2, JP3, JP4, JP5",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,5,SJ,
"K1, K2",Relay_DPDT_Omron_G5V-2,2,G5V-2,
"L1, L2",0603,2,10uH,
"L3, L4, L5, L6",IND_TAIYO_NRH2410_TAY,4,4.7uH,
"L7, L8",0603,2,4.7uH,
Q1,STL20N6F7,1,STL11N3LLH6,
"R1, R3, R5, R7",0603,4,820K,
"R10, R9",0603,2,240,
"R11, R12, R21, R23, R28, R30, R39, R41, R61, R62, R64",0603,11,1K,
"R13, R17, R22, R24",0603,4,6.2,
"R14, R18",0603,2,1.5K,
"R15, R19",0603,2,3.9K,
"R16, R20",0603,2,9.1K,
"R2, R8",0603,2,68K,
"R25, R26, R27, R29",0603,4,2K,
"R31, R32",0603,2,100,
"R33, R34, R35, R37, R40, R42, R43, R44, R45, R46, R48, R50, R51, R52, R53, R56, R60, R63, R67",0603,19,10K,
"R36, R38, R47, R49",0603,4,3K3,
"R4, R6",0603,2,200k,
"R54, R55, R82, R83",0603,4,0,
"R57, R65, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81",0603,16,1M,
R58,0603,1,110k,
R59,0603,1,100k,
R66,0603,1,2.4K,
"R84, R85",0603,2,5.1k,
SW1,SW_TS02-66-73-BK-100-SCR-D,1,TS02-66-73-BK-100-SCR-D,
TP10,TestPoint_Pad_D2.0mm,1,T_adc_1,
TP11,TestPoint_Pad_D2.0mm,1,T_buf_1,
TP12,TestPoint_Pad_D2.0mm,1,T_pwm_1,
TP13,TestPoint_Pad_D2.0mm,1,T_amp_0,
TP14,TestPoint_Pad_D2.0mm,1,T_amp_1,
TP5,TestPoint_Pad_D2.0mm,1,T_buf_0,
TP6,TestPoint_Pad_D2.0mm,1,T_pwm_0,
TP7,TestPoint_Pad_D2.0mm,1,T_adc_0,
"TP8, TP9",TestPoint_Pad_D2.0mm,2,+3.3VA,
"U1, U2",SOP-4_3.8x4.1mm_P2.54mm,2,AQY284SX,
"U10, U9",SOIC-14_3.9x8.7mm_P1.27mm,2,MC33274ADR2G,
U11,TSSOP-16_4.4x5mm_P0.65mm,1,DG403,
U12,LQFP-100_14x14mm_P0.5mm,1,STM32H562VGTx,
U13,ST_UFDFPN-12-1EP_3x3mm_P0.5mm_EP1.4x2.55mm,1,R1283K002A,
"U14, U15",DFN_5APU33R_STM,2,ST1L05APU33R,
U16,TSOT-23-6_HandSoldering,1,LTC1983ES6-5TRMPBF,LTC1983ES6-5#TRMPBF
U17,QFN12_TCPP01-M12_STM,1,TCPP01-M12,
"U18, U20",DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm,2,74HC245,
U19,SOT-23-6,1,USBLC6-2SC6,
"U3, U5",TSSOP-16_4.4x5mm_P0.65mm,2,CD74HC4316,
"U4, U6",VSSOP-8_3x3mm_P0.65mm,2,LMP7718,
"U7, U8",SOT-23-6_Handsoldering,2,OPA863,
Y1,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm_HandSoldering,1,32.768kHz,
Y2,NX2016SA_NDK,1,NX2016SA-25M-EXS00A-CS08742,
