Designator,Mid X,Mid Y,Rotation,Layer
C1,168.806,-101.1065,90.0,bottom
C10,165.106,-70.25,0.0,bottom
C11,159.6375,-90.844,180.0,bottom
C12,144.306,-78.844,180.0,top
C13,171.706,-90.444,0.0,top
C14,159.306,-83.644,180.0,bottom
C15,163.706,-94.644,180.0,top
C16,151.5,-78.9865,0.0,top
C17,148.25,-71.5,0.0,top
C18,152.926,-73.7865,180.0,top
C19,158.2185,-86.244,180.0,top
C2,173.306,-101.1065,270.0,bottom
C20,155.031,-82.044,180.0,top
C21,171.706,-86.844,180.0,top
C22,154.206,-78.944,0.0,bottom
C23,163.306,-84.644,180.0,top
C24,157.237412,-79.244,90.0,bottom
C25,166.876001,-83.844,180.0,top
C26,153.706,-84.844,180.0,bottom
C27,159.5,-82.1125,90.0,top
C28,150.306,-88.244,0.0,bottom
C29,114.25,-108.0,180.0,top
C3,163.306,-101.244,90.0,top
C30,117.506,-86.244,180.0,top
C31,140.62262,-91.7,0.0,bottom
C32,140.62262,-93.75,0.0,bottom
C33,153.8425,-93.25,0.0,top
C34,155.25,-91.1825,90.0,top
C35,156.1385,-91.244,180.0,bottom
C36,153.681,-91.294,0.0,bottom
C37,115.0,-114.0375,90.0,bottom
C38,122.0,-105.75,180.0,bottom
C39,128.506,-98.844,90.0,top
C4,166.99725,-101.16525,270.0,bottom
C40,123.906,-81.3625,270.0,bottom
C41,120.25,-113.25,0.0,top
C42,117.0,-117.6575,270.0,bottom
C43,135.306,-103.244,180.0,top
C44,135.306,-101.744,180.0,top
C45,120.75,-109.0,270.0,bottom
C46,120.1375,-116.75,0.0,top
C47,126.306,-85.444,180.0,bottom
C48,129.306,-107.244,270.0,top
C49,135.306,-104.744,180.0,top
C5,184.1935,-81.844,0.0,bottom
C50,121.75,-103.0,180.0,bottom
C51,119.5,-112.75,180.0,bottom
C52,144.4,-94.7,0.0,bottom
C53,144.4,-93.1,0.0,bottom
C54,143.7685,-78.339,180.0,bottom
C55,130.2435,-77.944,180.0,top
C56,131.106,-76.444,180.0,top
C57,143.8285,-81.244,180.0,bottom
C58,144.4,-91.5,180.0,bottom
C59,131.106,-74.844,0.0,top
C6,184.1935,-87.044,180.0,bottom
C60,136.506,-81.044,0.0,top
C61,185.25,-109.5,0.0,top
C62,187.756,-113.444,90.0,top
C63,181.925,-119.6,0.0,bottom
C64,181.8625,-118.0,0.0,bottom
C65,167.0,-83.75,180.0,bottom
C66,185.75,-117.5,0.0,top
C67,180.506,-111.444,270.0,bottom
C68,177.306,-111.444,270.0,bottom
C7,184.1935,-90.6865,0.0,bottom
C70,124.806,-75.744,0.0,top
C71,123.8625,-68.5,180.0,bottom
C72,131.925,-70.3325,270.0,bottom
C73,117.556,-73.494,90.0,bottom
C74,122.3685,-77.644,180.0,bottom
C75,147.325,-92.075,270.0,bottom
C76,130.306,-114.244,270.0,top
C78,134.506,-99.244,270.0,top
C8,184.1935,-93.8865,180.0,bottom
C9,173.306,-93.684,90.0,bottom
CR2,149.106,-91.0662,270.0,bottom
D1,186.725,-103.5,90.0,top
D10,126.95,-73.25,180.0,bottom
D2,183.025,-72.9,180.0,top
D3,164.6875,-80.95,180.0,top
D4,154.1875,-87.5,0.0,bottom
D5,122.75,-109.25,270.0,bottom
D6,127.25,-110.5,90.0,bottom
D7,135.506,-69.314,270.0,top
D8,134.106,-75.244,90.0,top
D9,157.681,-82.044,180.0,bottom
GD1,179.77975,-109.37525,180.0,top
GD2,174.906,-79.044,270.0,top
J1,128.106,-119.444,90.0,top
J17,111.906,-80.114,90.0,top
J19,178.0,-119.25,0.0,top
J2,155.776,-109.514,0.0,top
J20,115.74,-70.94,270.0,top
K1,174.74725,-100.92275,270.0,top
K2,183.316,-85.034,0.0,top
L1,161.7185,-86.244,180.0,top
L2,155.031,-80.444,0.0,top
L3,124.25,-114.73025,90.0,top
L4,127.75,-114.73025,270.0,top
L5,136.875,-78.65,0.0,top
L6,187.14475,-106.95,180.0,top
L7,179.0,-110.175,90.0,bottom
L8,178.75,-99.75,90.0,bottom
Q1,128.275,-69.225,0.0,top
R1,163.906,-101.244,270.0,bottom
R10,168.306,-69.844,270.0,top
R11,155.75,-90.0,180.0,bottom
R12,138.4125,-74.5,0.0,top
R13,171.506,-89.3565,270.0,bottom
R14,169.906,-89.3565,270.0,bottom
R15,166.706,-89.3565,270.0,bottom
R16,168.306,-89.3565,270.0,bottom
R17,150.106,-68.844,180.0,bottom
R18,150.106,-70.444,180.0,bottom
R19,149.906,-73.644,180.0,bottom
R2,165.49725,-101.16525,90.0,bottom
R20,149.906,-72.044,180.0,bottom
R21,168.2185,-94.444,180.0,top
R22,159.806,-84.744,0.0,top
R23,151.4635,-76.3865,270.0,bottom
R24,151.706,-80.644,0.0,top
R25,161.106,-91.9565,270.0,top
R26,160.2185,-87.744,0.0,top
R27,156.506,-77.044,0.0,top
R28,162.706,-91.9565,270.0,top
R29,156.526,-78.7865,180.0,top
R3,170.306,-101.1065,90.0,bottom
R30,156.506,-75.3865,180.0,top
R31,166.876001,-85.444,0.0,top
R32,150.706,-81.1315,90.0,bottom
R33,114.481,-106.069,0.0,top
R34,118.006,-83.934,0.0,top
R35,125.506,-97.469,270.0,bottom
R36,129.306,-110.744,90.0,top
R37,125.506,-94.444,90.0,bottom
R38,122.331,-77.609,0.0,top
R39,117.5,-97.954,180.0,top
R4,171.806,-101.1065,270.0,bottom
R40,117.75,-96.25,180.0,top
R41,117.481,-92.744,180.0,top
R42,117.425,-94.244,0.0,top
R43,121.306,-98.454,180.0,top
R44,121.306,-99.954,0.0,top
R45,121.006,-89.434,0.0,top
R46,121.006,-90.934,0.0,top
R47,124.806,-101.454,0.0,top
R48,127.906,-101.644,0.0,top
R49,127.331,-89.109,180.0,top
R5,184.1935,-83.444,0.0,bottom
R50,127.806,-90.744,0.0,top
R51,129.306,-104.069,90.0,top
R52,132.506,-86.419,270.0,top
R53,146.681,-100.869,180.0,top
R54,154.306,-85.3315,270.0,top
R55,152.606,-85.3315,90.0,top
R56,130.306,-67.493996,0.0,bottom
R57,164.55,-114.225,270.0,bottom
R58,111.5,-114.5,270.0,top
R59,124.25,-113.75,180.0,bottom
R6,184.1935,-85.384,180.0,bottom
R60,119.0,-119.925,90.0,bottom
R61,119.25,-108.825,270.0,bottom
R62,120.25,-115.0,180.0,top
R63,113.0,-114.5,270.0,top
R64,139.706,-69.669,270.0,top
R65,154.55,-114.225,90.0,bottom
R66,125.406,-70.493996,90.0,top
R67,126.306,-73.244,180.0,top
R68,162.05,-114.225,270.0,bottom
R69,152.05,-114.225,90.0,bottom
R7,184.1935,-88.844,180.0,bottom
R70,159.55,-114.225,270.0,bottom
R71,149.55,-114.225,90.0,bottom
R72,157.05,-114.225,270.0,bottom
R73,147.02,-114.225,90.0,bottom
R74,162.15,-103.075,270.0,bottom
R75,152.15,-103.075,90.0,bottom
R76,159.65,-103.075,270.0,bottom
R77,149.65,-103.075,90.0,bottom
R78,157.15,-103.075,270.0,bottom
R79,147.15,-103.075,90.0,bottom
R8,184.1935,-92.2865,0.0,bottom
R80,154.65,-103.075,270.0,bottom
R81,144.65,-103.075,90.0,bottom
R82,159.35,-94.375,0.0,bottom
R83,149.7875,-94.1,180.0,bottom
R84,140.725,-67.325,180.0,top
R85,116.1375,-76.825,0.0,bottom
R9,162.906,-93.244,0.0,bottom
SW1,157.0,-98.0,0.0,top
U1,168.556,-93.514,90.0,bottom
U10,125.656,-83.434,270.0,top
U11,123.071,-94.7965,270.0,top
U12,142.881,-91.294,90.0,top
U13,119.7375,-115.75,0.0,bottom
U14,130.5038,-75.694001,0.0,bottom
U15,137.355999,-75.4918,90.0,bottom
U16,185.106,-113.594,270.0,top
U17,129.2836,-70.468997,0.0,bottom
U18,134.4935,-112.619,180.0,top
U19,122.3875,-71.0,0.0,bottom
U2,165.106,-69.844,180.0,top
U20,140.631,-101.9315,90.0,top
U3,161.431,-87.219,270.0,bottom
U4,166.7185,-91.944,0.0,top
U5,144.2435,-75.319,270.0,top
U6,151.4635,-76.3865,180.0,top
U7,167.476001,-88.194,180.0,top
U8,153.956,-81.494,180.0,bottom
U9,121.75,-106.785,270.0,top
Y1,154.9085,-92.844,180.0,bottom
Y2,153.425,-91.025,90.0,top
